ds,yhat,yhat_lower,yhat_upper
2020-02-01,212.21460139948508,191.9032025577172,232.15444162910862
2020-02-02,206.96697277762752,188.3970686122064,226.48010070082313
2020-02-03,268.896506352583,250.42832544540286,288.1036298307795
2020-02-04,251.4487651718149,231.6357440716441,269.99051310991007
2020-02-05,247.79732619930343,227.75164041195796,267.3614559163054
2020-02-06,245.45037407632805,224.97746014851435,264.7035183161381
2020-02-07,245.2415833576055,225.06726271493037,264.8744394028287
2020-02-08,211.30092058785232,191.505392498494,230.73543005047492
2020-02-09,205.96455451155794,185.3822472729771,223.33719488086177
2020-02-10,267.3720538770832,248.58864453881571,285.60942693510674
2020-02-11,249.87671743277505,229.17857379104458,269.4341710450263
2020-02-12,246.09041734244215,225.47922786751556,263.8546567048632
2020-02-13,243.60743384482527,223.93926611815058,264.08350805229725
2020-02-14,243.2654869368654,224.36918008562964,263.52541034148715
2020-02-15,209.42407660444186,189.27440488742906,229.88072860504508
2020-02-16,204.04328202307087,183.4063893621181,223.8649907239774
2020-02-17,263.6490920693292,243.29095776056153,282.6435303598458
2020-02-18,248.47173194451614,229.31303499412223,268.1703164645269
2020-02-19,245.5592626090786,226.15322615174568,264.900735725577
2020-02-20,243.98226223117638,223.81011859981714,263.1009434927407
2020-02-21,244.59808140040818,226.19581364797622,263.58776083973
2020-02-22,211.41892006610553,191.84401787594368,229.91650042469033
2020-02-23,206.91373312783023,188.48414114244713,225.93072527027604
2020-02-24,269.9142173571318,251.4326809209887,289.24217613368126
2020-02-25,253.3986666183124,233.97753515826741,273.63864190800996
2020-02-26,250.79505355250893,231.5512572346294,270.8061645510636
2020-02-27,249.5722585768328,229.7713476372031,268.31831217065957
2020-02-28,250.5924217916943,232.7238703939006,269.4311380000702
2020-02-29,217.25453094185653,198.37825467409132,237.39808651251477
2020-03-01,213.06481923396126,193.90938131308644,231.72201114795442
2020-03-02,277.48810785112937,257.05611827118616,297.47292660272825
2020-03-03,261.039074243276,241.1020591536341,281.2858163750378
2020-03-04,258.6950368664651,240.14727242091308,277.7154088015975
2020-03-05,257.7064254166901,239.84577094557187,276.2982567866395
2020-03-06,252.53895007093206,232.6918325485892,271.8206818909863
2020-03-07,214.07819039014083,194.5197565939866,233.3568645758373
2020-03-08,204.67822223811686,184.1170406915487,223.58164534588673
2020-03-09,258.33075104162805,238.45014500370215,278.14406374750666
2020-03-10,236.631164444854,216.88725931948468,256.5418661832708
2020-03-11,227.9441178012527,208.60524816573437,247.39462880818675
2020-03-12,220.48924189048734,200.83187696237061,239.0653559420631
2020-03-13,214.88455866204674,196.6076598477141,233.25165138272203
2020-03-14,181.42320094073685,161.76448312032477,201.6587086586877
2020-03-15,172.35479468980841,152.71621433180923,191.78367927308653
2020-03-16,215.46713812688998,196.73685989721693,233.99386130928355
2020-03-17,196.04951915756797,176.63156623856878,216.67343995997163
2020-03-18,187.42248333615206,167.8931466689147,206.60040874173427
2020-03-19,179.83445729586143,160.38726945422587,200.049962687112
2020-03-20,173.77697259618205,154.2317899611806,192.90332765884753
2020-03-21,145.37468233710112,125.63380169211815,164.1231772346353
2020-03-22,137.66329063225425,118.26552461481596,156.54387953956007
2020-03-23,171.8386194667543,151.13491536955132,191.73582575282214
2020-03-24,155.88620252990194,138.46715165762456,175.58417950772852
2020-03-25,148.63272247421386,129.05931964369384,169.51881350604123
2020-03-26,142.2579803472155,122.67921344600182,163.28001443054782
2020-03-27,137.15394882802124,118.108144013174,156.38949511962846
2020-03-28,114.24458962277134,93.84457515856455,133.27987413591003
2020-03-29,107.21146658529445,86.71892931692815,126.4033870575866
2020-03-30,133.2100773201163,113.21713507833104,152.4521339078916
2020-03-31,119.63953543248198,102.99888590377066,138.52074613419651
2020-04-01,112.97673260723317,93.93207397241584,131.9941058997244
2020-04-02,107.0503706172675,86.90601672616226,125.7793069538054
2020-04-03,102.13447851251401,83.44719448698281,122.31325531430733
2020-04-04,83.92104665137752,64.00235470357853,102.79725866052028
2020-04-05,77.79100957735875,59.366618098415245,97.27417785724982
2020-04-06,95.79734144234548,77.42834646016045,114.78127911523386
2020-04-07,91.6202795002533,73.04549187440728,111.58364143515995
2020-04-08,92.31024509826828,71.53008536539288,110.55360941092745
2020-04-09,93.45809182813994,75.13117256417705,112.6346769427201
2020-04-10,88.06468692718157,69.83238424971395,107.13721508582184
2020-04-11,83.93951341796084,64.9915212943305,103.17373322702251
2020-04-12,83.56621046309041,65.23698408145367,101.9479122460364
2020-04-13,102.86084301950056,83.48508079539752,124.51996901116692
2020-04-14,105.87080894978303,88.03718360174561,124.86104053790548
2020-04-15,106.45036332383862,87.33841195058373,125.63353664594838
2020-04-16,107.56412134800247,88.01495839490005,128.32360164836587
2020-04-17,109.62212513313938,89.3899006567045,129.29082736202452
2020-04-18,96.23511860355786,75.22993459578493,115.28477317690445
2020-04-19,95.64008870775785,76.42217766548228,115.99768718492923
2020-04-20,126.75354505502698,106.76940156010916,145.29690268647306
2020-04-21,120.70655300023017,101.75282434632935,141.0639416271323
2020-04-22,121.1390447926687,103.47403018740417,140.27608607983765
2020-04-23,122.17555973946718,103.68344149242053,143.00768176283165
2020-04-24,123.08233665310846,103.21152981391825,143.10740984873163
2020-04-25,106.88038837766294,89.30971787692368,126.09223624152067
2020-04-26,105.05805232591416,85.20176035462838,123.30214320910865
2020-04-27,137.61983972932572,118.93474441591391,157.45012872625654
2020-04-28,129.6902369819424,110.0545842315867,150.1156271014914
2020-04-29,128.8108600642305,110.06112525857569,146.89312991087394
2020-04-30,128.59880665199262,110.09859045560651,147.65278083927302
2020-05-01,129.51208891326615,111.08806944140981,149.63259057146283
2020-05-02,112.48389379941611,92.96528567053291,132.53970486837522
2020-05-03,110.54117191598563,91.15020233108771,130.76785706846664
2020-05-04,144.6338115706176,125.56471829679413,164.62882045823423
2020-05-05,136.2855765974821,117.15470416642461,155.47176557716915
2020-05-06,135.32707454393534,114.17576116247189,155.18882990144462
2020-05-07,135.06819968857883,115.18264236004609,152.72759927820573
2020-05-08,135.98713337159984,116.93458576328138,154.43733867394863
2020-05-09,118.13099877016045,99.57565037699943,136.75199536663817
2020-05-10,116.28837158306987,99.04509388932374,135.06774426647135
2020-05-11,152.26293280536868,132.26065893854366,170.17256545773594
2020-05-12,143.71989394639954,125.42492835028195,162.90954299173472
2020-05-13,142.9232313837439,124.58302898352943,164.43407325476758
2020-05-14,142.85246626001287,123.85201800463574,162.8602364066666
2020-05-15,144.0154945513383,126.55538549543822,162.82798505936208
2020-05-16,125.30846657605535,105.73641603931338,143.92492719680598
2020-05-17,123.26380589561117,104.72958652350455,144.18016121447639
2020-05-18,141.54727985958488,121.71532241755202,160.69890941621958
2020-05-19,152.03552476205422,133.36329643171518,171.026495016338
2020-05-20,151.06693619058066,131.67559665273492,169.35639236798193
2020-05-21,150.8601426712844,131.04204828112364,170.29800214065932
2020-05-22,151.9511222625038,132.54769215598088,170.48934400976972
2020-05-23,132.07986351904265,112.83012144838526,150.0307915845221
2020-05-24,129.79093651406583,110.57404482311145,149.05065438734417
2020-05-25,169.62671708576838,149.81977227619024,187.4883313280382
2020-05-26,159.8506789375274,140.44957217964384,179.65596689315612
2020-05-27,158.7028885427854,140.45682823126077,178.72984509222047
2020-05-28,158.36329901096894,138.0287950549058,178.18463948697607
2020-05-29,159.39703560988113,139.95817687171186,178.38543805599656
2020-05-30,138.3807615116542,118.91197816397514,158.28047369713255
2020-05-31,135.88300018431335,118.1881115595491,155.7566900687434
2020-06-01,177.69811323370698,157.8849447075929,197.56429994428726
2020-06-02,167.33010355370973,147.60497616803278,186.43192184795487
2020-06-03,166.04933117849603,146.71680635399997,184.0769726290327
2020-06-04,165.63091766954676,145.97695808762873,185.528719103965
2020-06-05,166.6670243454216,146.98389859987844,186.62032877302119
2020-06-06,144.56527535216262,125.597929068724,164.353222037312
2020-06-07,141.9227668092087,120.90808801613657,158.88512241314905
2020-06-08,185.77952739402792,165.59686055616936,205.61061828923616
2020-06-09,174.88607351675716,155.35142237418162,194.66009492601117
2020-06-10,173.53156180736804,155.0072356331357,194.43424175265037
2020-06-11,173.08401448967632,153.71824119426222,193.14045734284755
2020-06-12,174.05428940522532,154.3549329137419,193.0773073816532
2020-06-13,150.81527397535234,130.536502840802,170.86671340829636
2020-06-14,147.9541060505685,128.9553204873566,167.76082551064107
2020-06-15,193.65166776245678,174.4525853560811,212.39999907819876
2020-06-16,182.13576664663503,163.1912009405664,200.38476903081002
2020-06-17,180.57562719658839,161.95253104905572,198.2635442715306
2020-06-18,179.95345176578758,159.24393864756456,199.1385257897641
2020-06-19,180.90881260939958,161.94824782674377,200.52643634499736
2020-06-20,156.6486579543769,136.37948082966878,175.8740838080284
2020-06-21,153.60027137904274,135.82517296021103,173.2046764687468
2020-06-22,201.07611986469973,181.12028384867983,220.96053996225953
2020-06-23,188.99989900751885,168.75159950717577,206.99152642222055
2020-06-24,187.28092317477166,168.60056588753974,206.02652682271307
2020-06-25,186.53751983807783,166.51071452099657,204.51169628754772
2020-06-26,187.43753765436924,167.92820173050018,206.09289208371922
2020-06-27,162.1329750484576,142.46023824293005,182.05103032500227
2020-06-28,158.62593915575385,139.6944171450149,177.7812055835612
2020-06-29,207.4689146404977,187.56864326967465,226.9845369593511
2020-06-30,194.59640721740334,176.01600129395436,213.74158076363372
2020-07-01,184.10432608004936,165.53538514887634,204.36635133355347
2020-07-02,191.40810114183228,172.3695225884275,211.31943702749493
2020-07-03,192.05814833217386,172.25652109368403,211.68794061986358
2020-07-04,165.85051587498683,145.69803184047802,184.45327997736382
2020-07-05,162.3716555745466,143.7859501197438,181.93793858641956
2020-07-06,212.6304030540225,191.668155405596,231.10142605685988
2020-07-07,199.60309396363832,180.11513539939511,219.4883066398181
2020-07-08,197.64186408638997,177.68548765084913,216.60211323529956
2020-07-09,196.77428316355613,178.34993829712835,216.99232815797416
2020-07-10,197.69713121128217,176.47479908703815,216.59347863037524
2020-07-11,171.09679345040027,151.52739290418918,189.70722092923378
2020-07-12,167.8173060574019,147.9396502377885,187.48520282959694
2020-07-13,219.63719398937022,200.76503030553516,239.0471904234603
2020-07-14,206.4726861732159,187.08418395117633,226.68066656174418
2020-07-15,204.64597659419695,185.5862181501593,224.55207620391
2020-07-16,203.92300019487217,183.54270078176253,222.597910628504
2020-07-17,205.00656392663447,187.199251814741,223.98654834960772
2020-07-18,177.91373341291037,159.5854680668832,197.4873870623791
2020-07-19,174.64006239968316,155.06216569803493,194.65324268344443
2020-07-20,227.59818530988665,208.4121030681001,244.80282563361126
2020-07-21,214.20448624449864,194.33467744894784,231.76067519812244
2020-07-22,212.3304508966276,194.13687017759148,231.01972437923308
2020-07-23,211.51917772801707,191.4305036721529,230.518463464702
2020-07-24,212.48564321574835,191.73291776229382,231.35597497433804
2020-07-25,184.61443758567376,165.42455277882107,204.57950634820716
2020-07-26,180.99856920943864,162.93089652974467,200.93442290115289
2020-07-27,234.72690912759623,215.52263076814907,253.42886929677934
2020-07-28,220.65183332696276,200.99837749698872,239.9679978932004
2020-07-29,218.28301411932006,199.00498392488467,237.05206647060692
2020-07-30,216.95198022187878,195.98845084353724,235.8201361697634
