Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission
01/01/21,21,6,66,3,66,9,132,2,30,0,22,25,8,40,0,0,5,9,0,2,34,10,0,10,0,14,2,1,0,3,2,0,2,0,2,2,9,3,,,0,1,0,1,2,1
01/01/21,20,0,60,4,63,4,123,0,28,0,22,25,9,38,0,0,5,9,0,2,31,9,0,13,0,9,0,1,0,3,3,0,2,0,2,1,8,2,,,0,1,2,1,3,2
01/01/21,19,4,60,3,59,7,119,2,28,0,21,25,8,42,0,0,5,4,0,2,36,12,2,13,0,11,1,0,0,4,3,0,2,0,2,2,6,3,,,2,1,3,2,2,1
01/01/21,18,3,56,3,56,6,112,1,26,0,19,21,11,45,0,0,5,4,0,3,37,12,0,13,0,12,1,1,2,7,2,0,3,0,3,4,9,5,,,1,1,2,1,2,1
01/01/21,17,3,53,5,53,8,106,3,25,0,17,17,14,44,0,0,5,2,0,3,34,12,0,12,0,10,0,0,1,7,1,0,4,0,3,4,9,4,,,0,1,2,1,3,1
01/01/21,16,4,50,9,48,13,98,2,22,1,16,17,14,45,0,0,5,1,0,2,33,11,1,12,0,10,0,1,1,4,0,0,6,0,4,4,8,6,,,0,0,2,1,4,2
01/01/21,15,4,46,8,39,12,85,2,20,1,15,16,14,45,0,0,5,1,0,4,33,11,1,11,0,11,0,1,1,3,0,0,5,0,3,7,5,3,,,0,0,3,2,3,2
01/01/21,14,5,42,4,31,9,73,1,18,1,13,15,14,47,0,0,5,1,0,3,37,13,3,12,0,12,0,1,1,3,1,0,5,1,3,5,1,1,,,3,0,2,0,2,1
01/01/21,13,4,37,2,27,6,64,1,17,0,11,11,18,51,0,0,3,0,0,3,39,12,1,12,1,15,1,1,1,2,1,0,6,0,3,3,4,1,,,0,0,2,0,3,2
01/01/21,12,9,33,8,25,17,58,2,16,1,10,11,17,44,0,0,3,0,0,3,35,11,2,11,2,13,0,6,1,1,1,0,3,0,1,6,5,1,,,0,0,1,0,3,2
01/01/21,11,5,24,3,17,8,41,2,14,0,9,10,16,44,0,0,3,0,0,3,34,12,1,11,1,11,1,8,1,1,1,0,4,0,1,3,2,1,,,0,0,1,0,3,2
01/01/21,10,5,19,5,14,10,33,4,12,0,9,10,17,40,0,0,3,0,0,3,29,12,1,9,1,8,0,10,0,1,2,0,4,0,1,2,2,1,,,0,0,1,0,4,3
01/01/21,9,4,14,3,9,7,23,1,8,0,8,8,18,37,0,0,2,0,0,5,25,9,0,9,1,7,0,11,0,1,2,0,3,1,1,0,2,1,,,0,0,1,2,4,3
01/01/21,8,1,10,1,6,2,16,1,7,0,8,7,19,39,0,0,1,0,0,4,27,10,0,8,0,9,0,10,0,1,1,0,4,0,3,0,1,1,,,0,0,1,2,4,3
01/01/21,7,1,9,1,5,2,14,1,6,0,7,7,18,40,0,0,1,0,0,4,28,12,0,7,0,9,0,9,1,1,1,0,4,1,2,2,0,0,,,0,0,0,0,4,3
01/01/21,6,3,8,0,4,3,12,2,5,0,6,5,19,38,0,0,1,0,0,4,28,11,1,10,0,7,0,9,1,1,1,0,2,0,2,2,1,1,,,0,0,0,0,4,3
01/01/21,5,1,5,1,4,2,9,1,3,0,4,4,18,37,0,0,1,0,0,4,27,12,1,9,0,6,0,10,1,1,2,0,2,0,2,1,1,1,,,0,0,0,0,4,3
01/01/21,4,1,4,0,3,1,7,1,2,0,3,4,17,41,0,0,1,0,0,4,30,11,0,11,0,8,1,10,2,1,1,0,3,0,2,1,2,0,,,0,0,0,0,4,3
01/01/21,1,1,1,1,1,2,2,0,0,0,1,2,17,43,0,0,0,0,0,3,32,12,0,12,0,8,0,8,1,1,1,0,5,0,2,3,0,0,,,1,0,0,0,3,3
01/01/21,23,3,70,0,68,3,138,3,34,0,23,25,10,35,0,0,5,9,0,2,29,8,1,8,0,13,0,3,2,0,0,0,1,0,1,0,2,0,,,0,0,0,0,3,1
01/01/21,24,1,71,2,70,3,141,0,34,0,24,26,10,35,1,1,5,9,0,2,27,8,1,10,0,9,0,8,2,0,0,0,2,0,1,3,2,0,,,0,0,0,1,3,1
01/01/22,2,2,3,1,4,3,7,1,3,0,3,1,12,42,0,0,0,0,0,3,34,13,0,11,0,10,0,6,0,3,3,0,2,0,0,0,1,1,0.0,5.0,0,0,0,2,3,3
01/01/22,3,2,5,1,5,3,10,1,4,0,3,1,12,45,0,0,0,0,0,5,34,13,0,12,0,9,0,8,1,2,2,0,3,1,1,1,0,0,0.0,0.0,0,0,0,2,3,3
